umkm_name,umkm_category,total_seller_gain,total_project_value,total_revenue
CV Toko Pasifik Lombok,Kecil,7005682,15187911,26283
PT. KASHAFA KREASINDO JAYA,Kecil,0,87879000,0
PT Ghifaro Karya Aksa,Kecil,17008500,479735895,114510
CV. INTAN-SBY,Kecil,5579440,124832181,7352
MATRIK PAKARTI,Kecil,342115771,728940920,1522994
HADID MULIA,Kecil,1625085,554024865,3298
PT Seller SMT,Kecil,0,83250,0
CV. M21 ARTHA SEJAHTERA,Kecil,3158360,24693737,13602
PT. Prima Adzkia Sejahtera,Kecil,0,102446000,0
PT KUMPULAN JAYA NUSANTARA,Kecil,36851800,105064500,249467
CV MEGAH RAHARJA,Kecil,26640,19709240,0
PUTRA SAFA,Kecil,39690,332675,-2485
KOPERASI KARYAWAN WIKON MEKAR,Kecil,0,330288825,0
CAHAYA CIPTA REZEKI,Kecil,17640,78975930,-2074
PT. SURYA ENERGI MEKANIKAL,Kecil,0,266400,0
undefined,Kecil,209956362,1398443400,1198364
CV. SURYA KAWITAN,Kecil,5718999,43150133,16637
KOPERASI KARYAWAN KUSUMA KANTOR UPND PT.TELKOM BATAM,Kecil,250870692,991962110,1707583
SEJAHTERA BERSAMA SHARIA,Kecil,0,135000,0
Dapur Sauja,Kecil,1850000,1941500,0
Kopi Lelet Cangkir,Kecil,0,53000,0
PT. Kharisma Surya Lestari,Kecil,1508975,1513100,-526
Catering Sugma Bersama,Kecil,0,138000,0
NUANSA FAJAR MANDIRI,Kecil,35341395,293764662,189445
SURYA JAYA,Kecil,0,223020400,0
"Dapur Mbak Anna ""aby""",Kecil,142227,647000,-3673
PT Hayrayhan Juara Global,Kecil,0,100000,0
Qonita,Kecil,0,202000,0
Golden Wood,Kecil,0,665000,0
LANTAR CIPTA MEDIA,Kecil,0,38662291,0
MD Store,Kecil,0,100000,0
KOPENA,Kecil,203946860,1354239692,1376946
PT SYAMIL ALFAZZA UTAMA,Kecil,0,76040,0
PT BINA PANCA SARI,Kecil,85947104,992655295,588285
